🕘️更新时间,#genre#
怀旧剧场,http://111.61.236.247:9081/hls/67/index.m3u8$订阅源
怀旧剧场,http://dassby.qqff.top:99/live/怀旧剧场/index.m3u8$订阅源
怀旧剧场,http://124.116.183.146/rtp/239.111.205.67:5140$陕西电信组播源-cache:124.116.183.146-组播源
女性时尚,http://111.61.236.247:9081/hls/59/index.m3u8$订阅源
女性时尚,http://dassby.qqff.top:99/live/女性时尚/index.m3u8$订阅源
女性时尚,http://124.116.183.146/rtp/239.111.205.72:5140$陕西电信组播源-cache:124.116.183.146-组播源
高尔夫网球,http://124.116.183.146/rtp/239.111.205.73:5140$陕西电信组播源-cache:124.116.183.146-组播源
风云足球,http://61.184.46.85:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
风云足球,http://111.61.236.247:9081/hls/58/index.m3u8$订阅源
风云足球,http://115.150.63.77:9902/tsfile/live/1028_1.m3u8$订阅源
风云足球,http://115.150.63.77:9902/tsfile/live/1028_1.m3u8$订阅源
风云足球,http://183.11.239.36:808/hls/133/index.m3u8$订阅源
风云足球,http://dassby.qqff.top:99/live/风云足球/index.m3u8$订阅源
风云足球,http://124.116.183.146/rtp/239.111.205.68:5140$陕西电信组播源-cache:124.116.183.146-组播源
电视指南,http://ygbh.site/php/bfgd.php?id=164$订阅源
电视指南,http://ygbh.site/php/bfgd.php?id=164$订阅源
世界地理,http://111.61.236.247:9081/hls/62/index.m3u8$订阅源
世界地理,http://183.11.239.36:808/hls/11/index.m3u8$订阅源
世界地理,http://dassby.qqff.top:99/live/世界地理/index.m3u8$订阅源
世界地理,http://124.116.183.146/rtp/239.111.205.71:5140$陕西电信组播源-cache:124.116.183.146-组播源
兵器科技,http://120.238.94.10:9901/tsfile/live/1096_1.m3u8$订阅源
兵器科技,http://sh.lnott.top:880/dx81.m3u8$订阅源
兵器科技,http://124.116.183.146/rtp/239.111.205.74:5140$陕西电信组播源-cache:124.116.183.146-组播源

📡卫视频道,#genre#
